"Name","Unique_ID__c","Task_Name__c","Task_Flow__r.Unique_ID__c","Schedule__r.Unique_ID__c","Abort_On_Failure__c","Description__c","Failure_Emails__c","Last_Scheduled_Date__c","Max_Retry_Count__C","Order__c","PostProcessing_Script__c","PreProcessing_Script__c","Retry_If_Fail__c","Success_Emails__c","Warning_Emails__c"
"TSK00000372","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO","VFGE_IOT_Sync_Import_Flat_vf_opco","VFGE_IOT_SYNC",,"true",,,,,"13.0",,,"false",,
"TSK00000373","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY","VFGE_IOT_Sync_Import_Flat_3rd_party","VFGE_IOT_SYNC",,"true",,,,,"14.0",,,"false",,
"TSK00000374","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA","VFGE_IOT_Sync_History_Uploading_Data","VFGE_IOT_SYNC",,"true",,,,,"16.0",,,"false",,
"TSK00000375","VFGE_IOT_SYNC_POPULATE_DEAL","VFGE_IOT_Sync_Populate_Deal","VFGE_IOT_SYNC",,"true",,,,,"15.0",,,"false",,
"TSK00000376","VFGE_IOT_SYNC_3RD_PARTY_DELETE","VFGE_IOT_Sync_3rd_party_DELETE","VFGE_IOT_SYNC",,"true",,,,,"17.0",,,"false",,
"TSK00000377","VFGE_IOT_SYNC_VF_OPCO_DELETE","VFGE_IOT_Sync_vf_opco_DELETE","VFGE_IOT_SYNC",,"true",,,,,"18.0",,,"false",,
"TSK00000378","VFGE_IOT_SYNC_PERIOD_DELETE","VFGE_IOT_Sync_period_DELETE","VFGE_IOT_SYNC",,"true",,,,,"19.0",,,"false",,
"TSK00000379","VFGE_IOT_SYNC_DEAL_DELETE","VFGE_IOT_Sync_deal_DELETE","VFGE_IOT_SYNC",,"true",,,,,"20.0",,,"false",,
"TSK00000380","VFGA_GLL_REPORT","VFGA_GLL_Report",,"DAILY_AT_2300","false",,,"2016-07-20 01:00:00",,"1.0","/home/sip/salesforce/scripts/gllReportAfter.sh",,"false",,
"TSK00000381","VFGE_IOT_SYNC_DEAL_INSERT","VFGE_IOT_Sync_deal_INSERT","VFGE_IOT_SYNC",,"true",,,,,"21.0",,,"false",,
"TSK00000382","VFGE_IOT_SYNC_PERIOD_INSERT","VFGE_IOT_Sync_period_INSERT","VFGE_IOT_SYNC",,"true",,,,,"22.0",,,"false",,
"TSK00000383","VFGE_IOT_SYNC_1ST_PARTICIPANT_INSERT","VFGE_IOT_Sync_1st_participant_INSERT","VFGE_IOT_SYNC",,"true",,,,,"23.0",,,"false",,
"TSK00000384","VFGE_IOT_SYNC_2ND_PARTICIPANT_INSERT","VFGE_IOT_Sync_2nd_participant_INSERT","VFGE_IOT_SYNC",,"true",,,,,"24.0",,,"false",,
"TSK00000385","VFGE_IOT_SYNC_HISTORY_WAITING_SYNC","VFGE_IOT_Sync_History_Waiting_Sync","VFGE_IOT_SYNC",,"true",,,,,"25.0",,,"false",,
"TSK00000386","SYS_PURGE_SERVER_AUDIT","SYS_PURGE_SERVER_AUDIT","SYS_PURGE_AUDIT_AND_LOGS",,"false",,,,,"1.0",,,"false",,
"TSK00000387","SYS_PURGE_SERVER_LOGS","SYS_PURGE_SERVER_LOGS","SYS_PURGE_AUDIT_AND_LOGS",,"false",,,,,"2.0","gzip -f -9 /Users/aosantos/sip/runtimes/sandbox.uat/log.archive/*.log;",,"false",,
